12-08 16: 46: 52: Training starting...
Episode 0: Total Mean reward = -2.0, Mean Reward last 50 = -2.0, Epsilon = 1, best_rewards = -2.0
Episode 50: Total Mean reward = -0.3137254901960784, Mean Reward last 50 = -0.28, Epsilon = 0.6050060671375365, best_rewards = 2.0
Episode 100: Total Mean reward = 0.039603960396039604, Mean Reward last 50 = 0.4, Epsilon = 0.36603234127322926, best_rewards = 4.0
Episode 150: Total Mean reward = 0.4105960264900662, Mean Reward last 50 = 1.16, Epsilon = 0.22145178723886094, best_rewards = 6.0
Episode 200: Total Mean reward = 0.6865671641791045, Mean Reward last 50 = 1.52, Epsilon = 0.13397967485796175, best_rewards = 9.0
Episode 250: Total Mean reward = 0.8645418326693227, Mean Reward last 50 = 1.58, Epsilon = 0.08105851616218133, best_rewards = 12.0
Episode 300: Total Mean reward = 1.06312292358804, Mean Reward last 50 = 2.06, Epsilon = 0.04904089407128576, best_rewards = 12.0
Episode 350: Total Mean reward = 1.2792022792022792, Mean Reward last 50 = 2.58, Epsilon = 0.029670038450977095, best_rewards = 12.0
Episode 400: Total Mean reward = 1.6084788029925188, Mean Reward last 50 = 3.92, Epsilon = 0.017950553275045134, best_rewards = 12.0
Episode 450: Total Mean reward = 1.8780487804878048, Mean Reward last 50 = 4.04, Epsilon = 0.010860193639877886, best_rewards = 17.0
Episode 500: Total Mean reward = 2.269461077844311, Mean Reward last 50 = 5.8, Epsilon = 0.01, best_rewards = 17.0
Episode 550: Total Mean reward = 2.602540834845735, Mean Reward last 50 = 5.94, Epsilon = 0.01, best_rewards = 17.0
Episode 600: Total Mean reward = 2.788685524126456, Mean Reward last 50 = 4.84, Epsilon = 0.01, best_rewards = 17.0
Episode 650: Total Mean reward = 3.1367127496159752, Mean Reward last 50 = 7.32, Epsilon = 0.01, best_rewards = 17.0
Episode 700: Total Mean reward = 3.4593437945791727, Mean Reward last 50 = 7.66, Epsilon = 0.01, best_rewards = 17.0
Episode 750: Total Mean reward = 3.696404793608522, Mean Reward last 50 = 7.02, Epsilon = 0.01, best_rewards = 17.0
Episode 800: Total Mean reward = 3.9787765293383273, Mean Reward last 50 = 8.22, Epsilon = 0.01, best_rewards = 18.0
Episode 850: Total Mean reward = 4.353701527614571, Mean Reward last 50 = 10.36, Epsilon = 0.01, best_rewards = 18.0
Episode 900: Total Mean reward = 4.5693673695893455, Mean Reward last 50 = 8.24, Epsilon = 0.01, best_rewards = 18.0
Episode 950: Total Mean reward = 4.722397476340694, Mean Reward last 50 = 7.48, Epsilon = 0.01, best_rewards = 18.0
Episode 1000: Total Mean reward = 5.016983016983017, Mean Reward last 50 = 10.62, Epsilon = 0.01, best_rewards = 18.0
Episode 1050: Total Mean reward = 5.320647002854424, Mean Reward last 50 = 11.4, Epsilon = 0.01, best_rewards = 18.0
Episode 1100: Total Mean reward = 5.569482288828338, Mean Reward last 50 = 10.8, Epsilon = 0.01, best_rewards = 18.0
Episode 1150: Total Mean reward = 5.756733275412684, Mean Reward last 50 = 9.88, Epsilon = 0.01, best_rewards = 18.0
Episode 1200: Total Mean reward = 5.872606161532056, Mean Reward last 50 = 8.54, Epsilon = 0.01, best_rewards = 19.0
Episode 1250: Total Mean reward = 6.085531574740208, Mean Reward last 50 = 11.2, Epsilon = 0.01, best_rewards = 21.0
Episode 1300: Total Mean reward = 6.156802459646426, Mean Reward last 50 = 7.94, Epsilon = 0.01, best_rewards = 21.0
Episode 1350: Total Mean reward = 6.223538119911177, Mean Reward last 50 = 7.96, Epsilon = 0.01, best_rewards = 21.0
Episode 1400: Total Mean reward = 6.337615988579586, Mean Reward last 50 = 9.42, Epsilon = 0.01, best_rewards = 21.0
Episode 1450: Total Mean reward = 6.32184700206754, Mean Reward last 50 = 5.88, Epsilon = 0.01, best_rewards = 21.0
Episode 1500: Total Mean reward = 6.447035309793471, Mean Reward last 50 = 10.08, Epsilon = 0.01, best_rewards = 21.0
Episode 1550: Total Mean reward = 6.527401676337846, Mean Reward last 50 = 8.94, Epsilon = 0.01, best_rewards = 21.0
Episode 1600: Total Mean reward = 6.705184259837601, Mean Reward last 50 = 12.22, Epsilon = 0.01, best_rewards = 21.0
Episode 1650: Total Mean reward = 6.774076317383404, Mean Reward last 50 = 8.98, Epsilon = 0.01, best_rewards = 21.0
Episode 1700: Total Mean reward = 6.878894767783657, Mean Reward last 50 = 10.34, Epsilon = 0.01, best_rewards = 21.0
Episode 1750: Total Mean reward = 6.975442604226156, Mean Reward last 50 = 10.26, Epsilon = 0.01, best_rewards = 21.0
Episode 1800: Total Mean reward = 7.113270405330372, Mean Reward last 50 = 11.94, Epsilon = 0.01, best_rewards = 21.0
Episode 1850: Total Mean reward = 7.173419773095624, Mean Reward last 50 = 9.34, Epsilon = 0.01, best_rewards = 21.0
Episode 1900: Total Mean reward = 7.234087322461862, Mean Reward last 50 = 9.48, Epsilon = 0.01, best_rewards = 21.0
Episode 1950: Total Mean reward = 7.297283444387493, Mean Reward last 50 = 9.7, Epsilon = 0.01, best_rewards = 21.0
Episode 2000: Total Mean reward = 7.318840579710145, Mean Reward last 50 = 8.16, Epsilon = 0.01, best_rewards = 21.0
Episode 2050: Total Mean reward = 7.3973671379814725, Mean Reward last 50 = 10.54, Epsilon = 0.01, best_rewards = 21.0
Episode 2100: Total Mean reward = 7.409804854831033, Mean Reward last 50 = 7.92, Epsilon = 0.01, best_rewards = 21.0
Episode 2150: Total Mean reward = 7.549976754997675, Mean Reward last 50 = 13.44, Epsilon = 0.01, best_rewards = 22.0
Episode 2200: Total Mean reward = 7.644252612448887, Mean Reward last 50 = 11.7, Epsilon = 0.01, best_rewards = 22.0
Episode 2250: Total Mean reward = 7.651710350955131, Mean Reward last 50 = 7.98, Epsilon = 0.01, best_rewards = 22.0
Episode 2300: Total Mean reward = 7.720990873533246, Mean Reward last 50 = 10.84, Epsilon = 0.01, best_rewards = 22.0
Episode 2350: Total Mean reward = 7.789451297320289, Mean Reward last 50 = 10.94, Epsilon = 0.01, best_rewards = 24.0
Episode 2400: Total Mean reward = 7.885047896709704, Mean Reward last 50 = 12.38, Epsilon = 0.01, best_rewards = 24.0
Episode 2450: Total Mean reward = 7.981232150142799, Mean Reward last 50 = 12.6, Epsilon = 0.01, best_rewards = 24.0
Episode 2500: Total Mean reward = 8.00919632147141, Mean Reward last 50 = 9.38, Epsilon = 0.01, best_rewards = 24.0
Episode 2550: Total Mean reward = 8.075264602116818, Mean Reward last 50 = 11.38, Epsilon = 0.01, best_rewards = 24.0
Episode 2600: Total Mean reward = 8.125720876585929, Mean Reward last 50 = 10.7, Epsilon = 0.01, best_rewards = 24.0
Episode 2650: Total Mean reward = 8.225575254620898, Mean Reward last 50 = 13.42, Epsilon = 0.01, best_rewards = 24.0
Episode 2700: Total Mean reward = 8.27360236949278, Mean Reward last 50 = 10.82, Epsilon = 0.01, best_rewards = 24.0
Episode 2750: Total Mean reward = 8.342420937840785, Mean Reward last 50 = 12.06, Epsilon = 0.01, best_rewards = 24.0
Episode 2800: Total Mean reward = 8.402356301320957, Mean Reward last 50 = 11.7, Epsilon = 0.01, best_rewards = 24.0
Episode 2850: Total Mean reward = 8.445457734128375, Mean Reward last 50 = 10.86, Epsilon = 0.01, best_rewards = 24.0
Episode 2900: Total Mean reward = 8.437435367114787, Mean Reward last 50 = 7.98, Epsilon = 0.01, best_rewards = 24.0
Episode 2950: Total Mean reward = 8.488309047780414, Mean Reward last 50 = 11.44, Epsilon = 0.01, best_rewards = 24.0
Episode 3000: Total Mean reward = 8.47884038653782, Mean Reward last 50 = 7.92, Epsilon = 0.01, best_rewards = 24.0
Episode 3050: Total Mean reward = 8.535889872173058, Mean Reward last 50 = 11.96, Epsilon = 0.01, best_rewards = 24.0
Episode 3100: Total Mean reward = 8.589164785553047, Mean Reward last 50 = 11.84, Epsilon = 0.01, best_rewards = 24.0
Episode 3150: Total Mean reward = 8.639479530307838, Mean Reward last 50 = 11.76, Epsilon = 0.01, best_rewards = 24.0
Episode 3200: Total Mean reward = 8.710715401437051, Mean Reward last 50 = 13.2, Epsilon = 0.01, best_rewards = 24.0
Episode 3250: Total Mean reward = 8.763457397723778, Mean Reward last 50 = 12.14, Epsilon = 0.01, best_rewards = 24.0
Episode 3300: Total Mean reward = 8.80036352620418, Mean Reward last 50 = 11.2, Epsilon = 0.01, best_rewards = 24.0
Episode 3350: Total Mean reward = 8.810205908683974, Mean Reward last 50 = 9.46, Epsilon = 0.01, best_rewards = 24.0
Episode 3400: Total Mean reward = 8.834166421640694, Mean Reward last 50 = 10.44, Epsilon = 0.01, best_rewards = 24.0
Episode 3450: Total Mean reward = 8.847000869313243, Mean Reward last 50 = 9.72, Epsilon = 0.01, best_rewards = 24.0
Episode 3500: Total Mean reward = 8.919165952584976, Mean Reward last 50 = 13.9, Epsilon = 0.01, best_rewards = 24.0
Episode 3550: Total Mean reward = 8.958039988735568, Mean Reward last 50 = 11.68, Epsilon = 0.01, best_rewards = 24.0
Episode 3600: Total Mean reward = 8.990835878922521, Mean Reward last 50 = 11.32, Epsilon = 0.01, best_rewards = 24.0
Episode 3650: Total Mean reward = 9.016981648863325, Mean Reward last 50 = 10.9, Epsilon = 0.01, best_rewards = 24.0
Episode 3700: Total Mean reward = 9.065117535801134, Mean Reward last 50 = 12.58, Epsilon = 0.01, best_rewards = 24.0
Episode 3750: Total Mean reward = 9.119168221807518, Mean Reward last 50 = 13.12, Epsilon = 0.01, best_rewards = 24.0
Episode 3800: Total Mean reward = 9.158379373848987, Mean Reward last 50 = 12.1, Epsilon = 0.01, best_rewards = 24.0
Episode 3850: Total Mean reward = 9.229291093222539, Mean Reward last 50 = 14.62, Epsilon = 0.01, best_rewards = 24.0
Episode 3900: Total Mean reward = 9.288387592924892, Mean Reward last 50 = 13.84, Epsilon = 0.01, best_rewards = 24.0
Episode 3950: Total Mean reward = 9.358643381422425, Mean Reward last 50 = 14.84, Epsilon = 0.01, best_rewards = 24.0
Episode 4000: Total Mean reward = 9.414896275931017, Mean Reward last 50 = 13.86, Epsilon = 0.01, best_rewards = 24.0
Episode 4050: Total Mean reward = 9.48012836336707, Mean Reward last 50 = 14.7, Epsilon = 0.01, best_rewards = 24.0
Episode 4100: Total Mean reward = 9.533284564740308, Mean Reward last 50 = 13.84, Epsilon = 0.01, best_rewards = 24.0
Episode 4150: Total Mean reward = 9.525415562515057, Mean Reward last 50 = 8.88, Epsilon = 0.01, best_rewards = 24.0
Episode 4200: Total Mean reward = 9.566769816710307, Mean Reward last 50 = 13.0, Epsilon = 0.01, best_rewards = 24.0
Episode 4250: Total Mean reward = 9.603152199482475, Mean Reward last 50 = 12.66, Epsilon = 0.01, best_rewards = 24.0
Episode 4300: Total Mean reward = 9.63496861195071, Mean Reward last 50 = 12.34, Epsilon = 0.01, best_rewards = 24.0
Episode 4350: Total Mean reward = 9.680533210756147, Mean Reward last 50 = 13.6, Epsilon = 0.01, best_rewards = 24.0
Episode 4400: Total Mean reward = 9.713019768234492, Mean Reward last 50 = 12.54, Epsilon = 0.01, best_rewards = 24.0
Episode 4450: Total Mean reward = 9.756009885419006, Mean Reward last 50 = 13.54, Epsilon = 0.01, best_rewards = 24.0
Episode 4500: Total Mean reward = 9.750277716063097, Mean Reward last 50 = 9.24, Epsilon = 0.01, best_rewards = 24.0
Episode 4550: Total Mean reward = 9.778949681388706, Mean Reward last 50 = 12.36, Epsilon = 0.01, best_rewards = 24.0
Episode 4600: Total Mean reward = 9.839600086937622, Mean Reward last 50 = 15.36, Epsilon = 0.01, best_rewards = 24.0
Episode 4650: Total Mean reward = 9.878950763276714, Mean Reward last 50 = 13.5, Epsilon = 0.01, best_rewards = 24.0
Episode 4700: Total Mean reward = 9.914699000212721, Mean Reward last 50 = 13.24, Epsilon = 0.01, best_rewards = 24.0
Episode 4750: Total Mean reward = 9.960429383287728, Mean Reward last 50 = 14.26, Epsilon = 0.01, best_rewards = 24.0
Episode 4800: Total Mean reward = 9.995834201208082, Mean Reward last 50 = 13.36, Epsilon = 0.01, best_rewards = 24.0
Episode 4850: Total Mean reward = 10.024531024531024, Mean Reward last 50 = 12.78, Epsilon = 0.01, best_rewards = 24.0
Episode 4900: Total Mean reward = 10.070393797184249, Mean Reward last 50 = 14.52, Epsilon = 0.01, best_rewards = 24.0
Episode 4950: Total Mean reward = 10.109068874974753, Mean Reward last 50 = 13.9, Epsilon = 0.01, best_rewards = 24.0
Episode 5000: Total Mean reward = 10.15876824635073, Mean Reward last 50 = 15.08, Epsilon = 0.01, best_rewards = 24.0
Episode 5050: Total Mean reward = 10.217778657691547, Mean Reward last 50 = 16.12, Epsilon = 0.01, best_rewards = 24.0
Episode 5100: Total Mean reward = 10.261517349539305, Mean Reward last 50 = 14.68, Epsilon = 0.01, best_rewards = 24.0
Episode 5150: Total Mean reward = 10.296641428848767, Mean Reward last 50 = 13.88, Epsilon = 0.01, best_rewards = 24.0
Episode 5200: Total Mean reward = 10.34262641799654, Mean Reward last 50 = 15.08, Epsilon = 0.01, best_rewards = 24.0
Episode 5250: Total Mean reward = 10.372690916015998, Mean Reward last 50 = 13.5, Epsilon = 0.01, best_rewards = 24.0
Episode 5300: Total Mean reward = 10.407470288624788, Mean Reward last 50 = 14.06, Epsilon = 0.01, best_rewards = 24.0
Episode 5350: Total Mean reward = 10.445150439170249, Mean Reward last 50 = 14.44, Epsilon = 0.01, best_rewards = 24.0
Episode 5400: Total Mean reward = 10.485835956304388, Mean Reward last 50 = 14.84, Epsilon = 0.01, best_rewards = 24.0
Episode 5450: Total Mean reward = 10.526141992294992, Mean Reward last 50 = 14.88, Epsilon = 0.01, best_rewards = 24.0
Episode 5500: Total Mean reward = 10.578440283584802, Mean Reward last 50 = 16.28, Epsilon = 0.01, best_rewards = 25.0
Episode 5550: Total Mean reward = 10.631417762565304, Mean Reward last 50 = 16.46, Epsilon = 0.01, best_rewards = 26.0
Episode 5600: Total Mean reward = 10.679700053561865, Mean Reward last 50 = 16.04, Epsilon = 0.01, best_rewards = 26.0
Episode 5650: Total Mean reward = 10.704477083701999, Mean Reward last 50 = 13.48, Epsilon = 0.01, best_rewards = 26.0
Episode 5700: Total Mean reward = 10.733730924399229, Mean Reward last 50 = 14.04, Epsilon = 0.01, best_rewards = 26.0
Episode 5750: Total Mean reward = 10.765779864371414, Mean Reward last 50 = 14.42, Epsilon = 0.01, best_rewards = 26.0
Episode 5800: Total Mean reward = 10.792621961730736, Mean Reward last 50 = 13.88, Epsilon = 0.01, best_rewards = 26.0
Episode 5850: Total Mean reward = 10.83216544180482, Mean Reward last 50 = 15.42, Epsilon = 0.01, best_rewards = 26.0
Episode 5900: Total Mean reward = 10.850533807829182, Mean Reward last 50 = 13.0, Epsilon = 0.01, best_rewards = 26.0
Episode 5950: Total Mean reward = 10.869601747605444, Mean Reward last 50 = 13.12, Epsilon = 0.01, best_rewards = 26.0
Episode 6000: Total Mean reward = 10.886352274620897, Mean Reward last 50 = 12.88, Epsilon = 0.01, best_rewards = 26.0
Episode 6050: Total Mean reward = 10.908940670963478, Mean Reward last 50 = 13.62, Epsilon = 0.01, best_rewards = 26.0
Episode 6100: Total Mean reward = 10.945090968693657, Mean Reward last 50 = 15.32, Epsilon = 0.01, best_rewards = 26.0
Episode 6150: Total Mean reward = 10.954478946512761, Mean Reward last 50 = 12.1, Epsilon = 0.01, best_rewards = 26.0
Episode 6200: Total Mean reward = 10.97597161748105, Mean Reward last 50 = 13.62, Epsilon = 0.01, best_rewards = 26.0
Episode 6250: Total Mean reward = 11.015677491601343, Mean Reward last 50 = 15.94, Epsilon = 0.01, best_rewards = 26.0
Episode 6300: Total Mean reward = 11.033804158070147, Mean Reward last 50 = 13.3, Epsilon = 0.01, best_rewards = 26.0
Episode 6350: Total Mean reward = 11.046921744607149, Mean Reward last 50 = 12.7, Epsilon = 0.01, best_rewards = 26.0
Episode 6400: Total Mean reward = 11.084205592876113, Mean Reward last 50 = 15.82, Epsilon = 0.01, best_rewards = 26.0
Episode 6450: Total Mean reward = 11.110370485196094, Mean Reward last 50 = 14.46, Epsilon = 0.01, best_rewards = 26.0
Episode 6500: Total Mean reward = 11.11767420396862, Mean Reward last 50 = 12.06, Epsilon = 0.01, best_rewards = 26.0
Episode 6550: Total Mean reward = 11.148679590902152, Mean Reward last 50 = 15.18, Epsilon = 0.01, best_rewards = 26.0
Episode 6600: Total Mean reward = 11.173458566883806, Mean Reward last 50 = 14.42, Epsilon = 0.01, best_rewards = 26.0
Episode 6650: Total Mean reward = 11.195459329424146, Mean Reward last 50 = 14.1, Epsilon = 0.01, best_rewards = 26.0
Episode 6700: Total Mean reward = 11.231010296970602, Mean Reward last 50 = 15.96, Epsilon = 0.01, best_rewards = 26.0
Episode 6750: Total Mean reward = 11.254628943860169, Mean Reward last 50 = 14.42, Epsilon = 0.01, best_rewards = 26.0
